role,winrate,KDA,goldpm,cspm,vision,damage%,champs
MID,80.0,2.5714285714285716,430.5827704227796,6.451100385517665,18.4,19.43376078493785,"['Veigar', 'Kayle', 'Kayle', 'Kayle', 'Kayle']"
ADC,60.0,2.4,433.4976585273747,6.2703371727532,20.2,21.014136352998705,"['Kalista', 'Sivir', 'Sivir', 'Kalista', 'Draven']"
MID,60.0,3.6,476.9731224252511,7.405346186154897,19.4,29.016488022570314,"['Leblanc', 'Orianna', 'Kassadin', 'Kassadin', 'Syndra']"
ADC,40.0,4.785714285714286,402.9289512672495,7.08084540148441,15.0,25.516299249731027,"['Ezreal', 'Ezreal', 'Ezreal', 'Ezreal', 'Ezreal']"
TOP,20.0,2.185185185185185,369.70985440149764,6.464969461594556,14.4,20.772855436967053,"['Sion', 'Ekko', 'Ekko', 'Zac', 'Sett']"
TOP,40.0,2.6,361.93175897470564,6.159333129288645,20.4,18.781721384721834,"['Ornn', 'Shen', 'Shen', 'Ornn', 'Gangplank']"
MID,80.0,3.5,435.8197934908177,7.221548934656775,39.4,24.828725596208418,"['TwistedFate', 'Kassadin', 'Corki', 'Cassiopeia', 'Kassadin']"
SUPPORT,0.0,2.44,239.10484445149095,0.5913678782064902,46.8,9.675996500785041,"['Yuumi', 'Nami', 'Alistar', 'Yuumi', 'Yuumi']"
SUPPORT,40.0,2.2941176470588234,272.03125321105597,1.0500057083416587,59.8,13.334270614278049,"['Nautilus', 'Sett', 'Sett', 'Lulu', 'Yuumi']"
SUPPORT,60.0,3.84,266.357124851372,0.5726113886296108,64.8,7.302224236840674,"['Soraka', 'Soraka', 'Yuumi', 'Soraka', 'Yuumi']"
JUNGLE,40.0,3.0,370.30155732484576,1.0492162559156244,25.4,20.05399351763387,"['Warwick', 'Olaf', 'Graves', 'Ekko', 'Kayn']"
TOP,60.0,2.6129032258064515,429.2130736395693,5.393854224983684,24.8,22.63232439745914,"['Urgot', 'Gangplank', 'Jhin', 'Gangplank', 'Gangplank']"
MID,20.0,2.4545454545454546,393.9803853860255,6.256228323121813,16.6,23.539908189074442,"['AurelionSol', 'AurelionSol', 'Akali', 'AurelionSol', 'AurelionSol']"
JUNGLE,60.0,1.6428571428571428,433.2381077167339,1.0772180095591226,14.2,26.180595009502287,"['Kayn', 'MasterYi', 'MasterYi', 'Kayn', 'Kayn']"
MID,40.0,2.1666666666666665,434.7409549209291,7.231706878745574,21.0,21.73400863182256,"['Gangplank', 'Veigar', 'Corki', 'Gangplank', 'Kassadin']"
TOP,40.0,1.5454545454545454,376.405831020884,6.9004946595294685,22.2,25.662334380377118,"['Quinn', 'Velkoz', 'Velkoz', 'Velkoz', 'Teemo']"
ADC,60.0,3.411764705882353,415.5673901941801,6.638733221680741,16.6,24.895029877211485,"['Varus', 'Kaisa', 'MissFortune', 'Kaisa', 'Xerath']"
SUPPORT,20.0,1.6111111111111112,261.6706615540643,0.7937714547404132,53.0,15.062582072611347,"['Senna', 'Leona', 'Senna', 'Senna', 'Yuumi']"
ADC,60.0,2.217391304347826,397.0083492428521,6.36697157595909,16.4,18.80263991624093,"['Lucian', 'Kaisa', 'Kaisa', 'Kaisa', 'Kaisa']"
TOP,40.0,1.4864864864864864,392.3025936485524,6.317147227290351,17.2,19.646642365987272,"['Riven', 'Riven', 'Riven', 'Riven', 'Riven']"
ADC,80.0,5.0,422.3196623510256,6.261241507083504,21.2,25.47789623579022,"['Varus', 'Varus', 'Senna', 'Aphelios', 'Kalista']"
JUNGLE,20.0,2.176470588235294,578.7493763416766,3.1852734810614645,24.0,19.53886304516252,"['Ezreal', 'Ezreal', 'Olaf', 'Ekko', 'Olaf']"
JUNGLE,80.0,5.214285714285714,447.96214826754624,1.3635804393905793,32.2,20.689980438897752,"['Khazix', 'JarvanIV', 'LeeSin', 'Khazix', 'Khazix']"
JUNGLE,60.0,2.057142857142857,364.8455528481377,1.0797818619784807,31.4,17.791144949413233,"['RekSai', 'Graves', 'LeeSin', 'Graves', 'Sett']"
SUPPORT,40.0,2.7586206896551726,311.5859015969147,1.2254913988324905,42.0,12.647587123418342,"['Nautilus', 'Pyke', 'Yuumi', 'Pyke', 'Pyke']"
