role,winrate,KDA,goldpm,cspm,vision,damage%,champs
TOP,60.0,1.9285714285714286,456.957782025484,5.221906687371487,14.6,33.040969059593834,"['Nasus', 'Jax', 'Jax', 'Teemo', 'Teemo']"
TOP,20.0,3.1379310344827585,420.76305103757676,4.892024124383556,14.8,17.379704579845722,"['Garen', 'Renekton', 'Kayle', 'Kayle', 'Kayle']"
TOP,80.0,3.0526315789473686,490.30181221426227,4.561694493312361,10.0,23.54703015151475,"['Vladimir', 'Singed', 'Amumu', 'Jhin', 'DrMundo']"
ADC,60.0,1.6176470588235294,340.0294889312261,5.51791414197308,13.4,19.164579069763697,"['Jinx', 'MissFortune', 'Varus', 'Jhin', 'Jinx']"
TOP,100.0,1.9019607843137254,400.60377472645854,5.1473649430390225,18.8,26.30863408577261,"['Akali', 'Akali', 'Akali', 'Akali', 'Akali']"
SUPPORT,80.0,1.4090909090909092,276.1684563238712,1.4579275838375505,42.6,14.386280716758861,"['Nautilus', 'Nautilus', 'Ziggs', 'Senna', 'Senna']"
SUPPORT,20.0,2.566666666666667,268.597020664453,0.2868940861249564,46.0,12.784332344562207,"['Nami', 'Nami', 'Nami', 'Nami', 'Nami']"
JUNGLE,60.0,3.1739130434782608,451.06220712511856,1.3169698993753636,17.4,24.3722817709847,"['Nocturne', 'Nocturne', 'MonkeyKing', 'Nocturne', 'Nocturne']"
MID,60.0,2.893617021276596,479.6936339490609,3.5109126884789594,11.8,21.749413004851032,"['Hecarim', 'Ahri', 'Volibear', 'Ahri', 'Ahri']"
JUNGLE,60.0,2.3142857142857145,366.16298668175307,1.4682610155361466,18.8,12.990274306069105,"['Warwick', 'Warwick', 'Warwick', 'DrMundo', 'Nunu']"
JUNGLE,40.0,1.5555555555555556,379.6609853927736,3.246419206490317,17.2,16.14904775115599,"['Yasuo', 'MasterYi', 'Olaf', 'Olaf', 'Olaf']"
ADC,80.0,3.71875,391.39876395420845,4.226574742094227,17.8,16.80228288370075,"['Tristana', 'Jhin', 'Jhin', 'Jhin', 'Jhin']"
SUPPORT,80.0,2.0,284.02468576602973,0.9365494419514206,45.8,13.179123721159286,"['Blitzcrank', 'Nautilus', 'Nautilus', 'Brand', 'Fiddlesticks']"
ADC,80.0,3.44,362.1120954192023,4.70432018515192,12.8,19.609400553614297,"['Jhin', 'Jhin', 'Jhin', 'Aphelios', 'Jhin']"
MID,40.0,2.606060606060606,448.1503867747855,3.953445061373162,12.0,18.06183801381527,"['Orianna', 'Orianna', 'Ekko', 'Leblanc', 'Vladimir']"
ADC,60.0,4.2272727272727275,461.2565550468339,6.196789879206715,12.8,23.890169190790775,"['MissFortune', 'Jhin', 'Orianna', 'Xayah', 'Jhin']"
MID,40.0,4.3478260869565215,358.8081340084013,4.199828151210207,11.4,20.205597584279573,"['Sylas', 'Sylas', 'Talon', 'Kassadin', 'Malphite']"
MID,60.0,2.27027027027027,443.56256424963385,6.224331920499357,17.4,29.660010954201777,"['Kaisa', 'Yasuo', 'Yasuo', 'Malphite', 'Yasuo']"
MID,40.0,1.6097560975609757,377.87881531471106,5.53907458565564,20.8,22.87280845867901,"['Cassiopeia', 'Xerath', 'Kassadin', 'Akali', 'Yasuo']"
TOP,20.0,1.9558823529411764,780.1873909504749,3.7311595825415838,14.4,12.105828215379052,"['Leona', 'Pyke', 'Lux', 'Lux', 'Taric']"
JUNGLE,40.0,1.7428571428571429,365.6660460910507,1.0133627039454167,27.4,16.654116739684127,"['Khazix', 'Khazix', 'Rengar', 'Khazix', 'Zac']"
SUPPORT,20.0,3.588235294117647,305.7750844155688,1.4207116071487982,47.8,15.01784379387549,"['Lux', 'Lux', 'Lux', 'Pyke', 'Pyke']"
SUPPORT,40.0,1.7142857142857142,254.61954500563812,1.2105016824886439,47.6,10.616492733697589,"['Karma', 'Sett', 'Soraka', 'Thresh', 'Blitzcrank']"
JUNGLE,60.0,2.4285714285714284,362.3708747408008,1.3904488594164923,19.4,17.42449108030489,"['LeeSin', 'Zoe', 'Elise', 'Kindred', 'Sylas']"
ADC,60.0,3.269230769230769,417.3231695493978,6.212486210768685,14.6,27.948826770751,"['Jhin', 'Jhin', 'Kaisa', 'Jhin', 'Kaisa']"
