role,winrate,KDA,goldpm,cspm,vision,damage%,champs
JUNGLE,20.0,1.736842105263158,347.556683719501,0.7297476182631953,20.0,14.759773376741524,"['LeeSin', 'LeeSin', 'LeeSin', 'LeeSin', 'JarvanIV']"
MID,60.0,2.282608695652174,444.18804628288706,3.907931429105023,22.2,19.52077576395829,"['Veigar', 'Ekko', 'Zoe', 'Kalista', 'Azir']"
TOP,20.0,1.4473684210526316,291.70536997363524,3.205597403177221,10.4,18.997612498183464,"['Garen', 'Garen', 'Sett', 'Sett', 'Garen']"
TOP,60.0,1.696969696969697,344.15672174804166,4.406705221569564,14.2,24.18301657073283,"['Illaoi', 'Illaoi', 'Chogath', 'Jax', 'Illaoi']"
JUNGLE,40.0,1.671875,573.3063816890551,1.7803041187957043,25.2,17.839259403343934,"['Thresh', 'MasterYi', 'LeeSin', 'Fizz', 'MasterYi']"
MID,60.0,3.814814814814815,436.4124959592601,4.728421669852581,24.4,25.19019147313114,"['Yasuo', 'Zed', 'Yasuo', 'Zed', 'Yasuo']"
JUNGLE,60.0,2.054054054054054,396.88147495253514,1.097661139561882,16.0,17.294695157382893,"['Warwick', 'MonkeyKing', 'Volibear', 'Udyr', 'Warwick']"
MID,40.0,2.574074074074074,559.2633025957591,1.4642218566034972,0.0,15.602685731085044,"['Shaco', 'Quinn', 'Cassiopeia', 'Vladimir', 'Ziggs']"
JUNGLE,20.0,1.5384615384615385,326.42580779229354,0.43144085752416206,20.0,15.908160457359447,"['Shaco', 'Shaco', 'Shaco', 'Shaco', 'Shaco']"
TOP,60.0,3.04,365.18624355374493,4.233693390794839,16.2,23.061426437968045,"['Aatrox', 'Aatrox', 'Aatrox', 'Aatrox', 'Aatrox']"
JUNGLE,20.0,1.9565217391304348,312.563050421145,1.240389859734683,15.2,14.469232782347092,"['Amumu', 'Braum', 'Skarner', 'Amumu', 'Amumu']"
TOP,20.0,2.7906976744186047,457.01857264342925,3.0475535041542448,5.4,14.407813598291938,"['Ashe', 'Lulu', 'Nasus', 'Chogath', 'Vladimir']"
MID,40.0,2.5416666666666665,368.43053898747354,4.998844434311733,16.8,37.391429855888056,"['Galio', 'Velkoz', 'Cassiopeia', 'Velkoz', 'Cassiopeia']"
TOP,60.0,6.5,503.08139264540586,6.553531543498065,14.8,32.00496812008426,"['Illaoi', 'Yorick', 'XinZhao', 'Yorick', 'Garen']"
SUPPORT,40.0,1.4,289.3665881464086,1.4369905059391683,42.0,15.847872393356013,"['Ahri', 'Veigar', 'Mordekaiser', 'Teemo', 'Jhin']"
MID,40.0,2.0555555555555554,382.8841531255327,4.972569553200674,18.2,26.107112282662154,"['Zoe', 'Zoe', 'Veigar', 'Veigar', 'Veigar']"
SUPPORT,60.0,5.25,647.8459892511023,2.332019609993065,37.2,14.175108310502587,"['Lux', 'Lux', 'Lux', 'Soraka', 'Lux']"
ADC,100.0,8.76923076923077,427.3536971237777,4.825611468934396,8.6,24.454964880398823,"['Sivir', 'Ryze', 'Ryze', 'Tristana', 'Tristana']"
ADC,40.0,1.0238095238095237,323.76147523553436,5.012369906509095,9.0,22.019003197352905,"['Aphelios', 'Aphelios', 'Ashe', 'Kaisa', 'Kaisa']"
ADC,60.0,3.5652173913043477,436.9499804012336,5.166092320381703,8.6,30.826231773506702,"['Xayah', 'Xayah', 'Xayah', 'Xayah', 'Xayah']"
SUPPORT,80.0,2.0625,250.30327804784696,0.6033470081882883,15.0,12.581225958560621,"['Zyra', 'Zyra', 'Sona', 'Morgana', 'Yuumi']"
ADC,40.0,1.5263157894736843,316.6265931256998,4.902362641168457,10.6,16.785965251938396,"['Aphelios', 'Caitlyn', 'Jhin', 'Ashe', 'Jhin']"
SUPPORT,40.0,3.0285714285714285,349.8910118965836,1.3373588657869813,53.8,18.40221104220888,"['Vladimir', 'Brand', 'Brand', 'Zyra', 'Sona']"
ADC,20.0,1.8372093023255813,341.21100951470095,4.2596358496538365,21.4,14.413416295840117,"['Kaisa', 'Kaisa', 'Kaisa', 'Jinx', 'Kaisa']"
SUPPORT,40.0,1.7241379310344827,240.63623477438824,0.9293573740161347,17.0,10.371150223972466,"['Nautilus', 'Leona', 'Braum', 'Morgana', 'Morgana']"
