role,winrate,KDA,goldpm,cspm,vision,damage%,champs
ADC,80.0,1.7837837837837838,449.0857071507955,6.951551093871863,25.6,22.96492551333787,"['Vayne', 'Yasuo', 'Morgana', 'Aphelios', 'Jinx']"
MID,40.0,2.0,344.58547898562585,4.57864106982135,23.0,20.515748419500813,"['Yuumi', 'Morgana', 'Morgana', 'Morgana', 'Morgana']"
ADC,60.0,3.3684210526315788,425.126885716879,6.998611371800074,26.6,25.01091318617944,"['Ezreal', 'Ezreal', 'Ezreal', 'Varus', 'Ezreal']"
SUPPORT,60.0,2.193548387096774,246.79363024875502,0.6052416720224112,70.4,8.52690225139467,"['Karma', 'Karma', 'Karma', 'Karma', 'TahmKench']"
JUNGLE,60.0,2.5483870967741935,448.5340074047984,0.8745983839778267,22.8,20.89824670993478,"['LeeSin', 'MasterYi', 'MasterYi', 'Fiddlesticks', 'MasterYi']"
JUNGLE,80.0,2.0,363.3860358230917,1.965616947337185,17.6,16.22568263112349,"['Zac', 'Zac', 'Garen', 'Khazix', 'Khazix']"
ADC,60.0,1.7045454545454546,419.54414145028096,5.98529639157862,16.6,18.86962764739079,"['Aphelios', 'Aphelios', 'Yasuo', 'Yasuo', 'Cassiopeia']"
MID,60.0,2.8333333333333335,458.0575428844594,5.228897179229198,23.0,29.01023839979932,"['Lux', 'Senna', 'Fizz', 'Kaisa', 'Kaisa']"
TOP,40.0,1.9310344827586208,451.88774717504356,7.073448736316007,17.2,29.7752039281856,"['Riven', 'Riven', 'Syndra', 'Ryze', 'Riven']"
JUNGLE,60.0,3.85,415.1667558756797,2.0674732821824824,19.2,15.761158448716078,"['LeeSin', 'LeeSin', 'Irelia', 'LeeSin', 'LeeSin']"
JUNGLE,80.0,4.05,447.30414847641003,1.1861033668786773,29.6,21.810380186079954,"['Skarner', 'Olaf', 'Olaf', 'XinZhao', 'XinZhao']"
TOP,20.0,1.641025641025641,343.1896814533504,4.762874928575626,19.0,18.239965322224485,"['Aatrox', 'Graves', 'Volibear', 'Aatrox', 'Volibear']"
JUNGLE,60.0,4.466666666666667,422.9549842908452,1.0593459107167678,26.6,28.913827981062152,"['Shyvana', 'Shyvana', 'Evelynn', 'Evelynn', 'Evelynn']"
ADC,60.0,2.0714285714285716,369.07101904381307,5.4416692758177945,17.4,18.361567740879263,"['Vayne', 'Vayne', 'Vayne', 'Vayne', 'Ezreal']"
TOP,20.0,2.1639344262295084,984.4462824184469,6.2911664431921235,21.8,32.820585635876874,"['Xayah', 'Shaco', 'Vladimir', 'Vayne', 'Jhin']"
SUPPORT,60.0,2.25,272.32039223633933,0.7157592879081154,55.4,12.548291281031098,"['Nami', 'Zilean', 'Pyke', 'Ivern', 'Senna']"
MID,40.0,0.9636363636363636,349.33586571794075,5.766107772318594,24.6,24.582765550737733,"['Syndra', 'Syndra', 'Fizz', 'Syndra', 'Syndra']"
TOP,0.0,1.3488372093023255,448.30920291941794,5.270132316164497,19.8,22.456254154678586,"['Gnar', 'Gnar', 'Sion', 'Veigar', 'Gnar']"
MID,20.0,1.0,290.7672712266091,2.625746566189772,36.0,18.43500276854589,"['Karma', 'Karma', 'Rakan', 'Draven', 'Graves']"
MID,40.0,2.737704918032787,625.9608641527226,3.607264086476934,4.2,23.604805661375554,"['Swain', 'Malphite', 'Kassadin', 'Lissandra', 'Katarina']"
ADC,40.0,2.730769230769231,428.30139515092986,5.598118709862993,16.4,19.976135152378376,"['Vayne', 'Vayne', 'Varus', 'Ezreal', 'Vayne']"
TOP,60.0,3.92,478.37177292623545,5.376199728024656,15.0,26.62830927714986,"['Sett', 'Sett', 'Pantheon', 'Pantheon', 'Sett']"
SUPPORT,40.0,2.92,257.0375782338748,0.9196810205643207,43.2,7.220297409714685,"['Lux', 'Braum', 'Lulu', 'Lulu', 'Lulu']"
SUPPORT,20.0,2.607142857142857,265.2239975550316,0.6216552677939696,44.0,11.977676407371947,"['Karma', 'Janna', 'Karma', 'Janna', 'Janna']"
SUPPORT,40.0,3.259259259259259,320.01726247756943,1.6854041611823583,72.8,19.898251392808376,"['Lux', 'Zyra', 'Morgana', 'Lux', 'Zyra']"
