role,winrate,KDA,goldpm,cspm,vision,damage%,champs
ADC,60.0,2.6538461538461537,411.1198914570358,6.759470467104299,28.0,25.52068771885451,"['Aphelios', 'Lucian', 'Ezreal', 'Ezreal', 'Kalista']"
MID,100.0,6.5,480.8852605784199,5.158855439238169,18.6,28.70109271619836,"['Syndra', 'Ezreal', 'Syndra', 'Leblanc', 'Leblanc']"
SUPPORT,60.0,4.088235294117647,307.35386607646734,0.7194636551741664,65.6,7.425917241072708,"['Lulu', 'Lulu', 'Thresh', 'Thresh', 'Lulu']"
JUNGLE,80.0,2.0816326530612246,520.8756514332242,1.6487038983997735,31.4,22.1756068292075,"['LeeSin', 'Graves', 'Nidalee', 'Graves', 'MonkeyKing']"
SUPPORT,80.0,4.478260869565218,295.816456698823,0.43998821835131335,56.4,9.030052257342843,"['Janna', 'Yuumi', 'Yuumi', 'Nami', 'Yuumi']"
ADC,40.0,2.576923076923077,392.27607639612563,6.3496423490930125,18.2,24.243946158000252,"['Maokai', 'Xerath', 'Xerath', 'Xerath', 'Xerath']"
TOP,40.0,2.4594594594594597,433.0754487714354,5.4152396208699045,23.0,21.263698730187105,"['Hecarim', 'Hecarim', 'Hecarim', 'Zoe', 'Volibear']"
MID,80.0,2.75,496.37018543081047,5.663172338909034,19.2,24.48231075513395,"['Syndra', 'Azir', 'Zoe', 'Karma', 'Zoe']"
SUPPORT,40.0,2.5652173913043477,253.366810830562,1.04339384620154,57.8,6.4383817733656,"['Rakan', 'Rakan', 'Rakan', 'Rakan', 'Rakan']"
JUNGLE,20.0,3.2,396.6500997178402,1.2738201011675325,19.8,20.19172963266324,"['Nidalee', 'LeeSin', 'Graves', 'Graves', 'Karthus']"
JUNGLE,80.0,2.3666666666666667,399.9233666676936,0.9717016065352115,24.2,17.666334351233832,"['Hecarim', 'Olaf', 'Khazix', 'Warwick', 'Khazix']"
JUNGLE,20.0,3.4285714285714284,478.6754276246671,1.9731462208834565,30.8,28.3860011905413,"['Rengar', 'Rengar', 'Rengar', 'Rengar', 'Rengar']"
JUNGLE,40.0,3.0,405.15548056595054,1.2053088467965747,24.0,16.221313987607914,"['Volibear', 'Graves', 'RekSai', 'Volibear', 'Volibear']"
ADC,20.0,3.4814814814814814,449.22052542352856,6.130074973617345,10.2,28.132702119031983,"['Kaisa', 'Chogath', 'Kaisa', 'Ezreal', 'MissFortune']"
ADC,40.0,2.590909090909091,412.54591613890125,7.586480551251375,29.0,24.395904261832825,"['Aphelios', 'MissFortune', 'Aphelios', 'Kaisa', 'Varus']"
MID,40.0,1.6101694915254237,727.0506866348122,6.456005430670414,23.2,18.624003488157044,"['Vladimir', 'Vladimir', 'Syndra', 'Syndra', 'Tristana']"
TOP,80.0,3.642857142857143,470.7359147925689,7.687361659705461,20.0,25.255168336426408,"['Akali', 'Renekton', 'Renekton', 'Akali', 'Irelia']"
MID,40.0,1.7272727272727273,384.7312376755318,6.1483462603845105,23.4,27.01777905257619,"['Kayle', 'Viktor', 'Orianna', 'Lucian', 'Zed']"
SUPPORT,60.0,2.7419354838709675,308.7054506063344,1.180701130558818,51.0,10.619599942055617,"['Sett', 'Thresh', 'Lulu', 'Thresh', 'Nautilus']"
TOP,60.0,1.6,421.22320292099477,7.085199131262213,17.8,21.00268982424834,"['MonkeyKing', 'Camille', 'Camille', 'Camille', 'Camille']"
SUPPORT,80.0,3.8333333333333335,457.8314816900546,4.259257234500671,41.8,26.350835707133097,"['Xerath', 'Volibear', 'Pyke', 'Xerath', 'Draven']"
ADC,80.0,3.1739130434782608,468.80195343087473,7.569034151470841,22.0,30.37849768589922,"['Ezreal', 'Caitlyn', 'Caitlyn', 'Caitlyn', 'Caitlyn']"
TOP,20.0,1.4375,415.72991706729846,6.894331713342517,16.2,21.673273270206376,"['Rengar', 'Rengar', 'Rengar', 'Rengar', 'Rengar']"
TOP,60.0,1.6451612903225807,396.07784584312697,6.202914972644145,24.2,23.15152046906869,"['Volibear', 'Kayle', 'Volibear', 'Volibear', 'Sett']"
MID,40.0,1.6764705882352942,432.1181330663253,6.992392417632374,29.4,27.794817146348905,"['Kennen', 'Kennen', 'Kennen', 'Kennen', 'Kennen']"
