role,winrate,KDA,goldpm,cspm,vision,damage%,champs
MID,40.0,1.9393939393939394,347.0921311292533,5.0856537097536885,19.0,18.266789912693607,"['Azir', 'Galio', 'Ahri', 'Lissandra', 'Kassadin']"
ADC,20.0,2.269230769230769,355.25617100068257,5.66857723230955,14.4,24.754511199750205,"['Aphelios', 'Syndra', 'Ashe', 'Ezreal', 'Aphelios']"
JUNGLE,40.0,1.4142857142857144,792.3756660036153,3.774085591613513,14.8,20.869350904995436,"['Hecarim', 'MasterYi', 'Volibear', 'Sett', 'Yasuo']"
ADC,60.0,2.911764705882353,413.80907370387933,5.321148804576088,16.2,22.391124705197534,"['Jinx', 'Jhin', 'MissFortune', 'MissFortune', 'MissFortune']"
MID,60.0,3.263157894736842,501.9805326723198,4.9056052756744855,9.8,28.23569629071728,"['Lux', 'Katarina', 'Lux', 'Katarina', 'Vayne']"
JUNGLE,40.0,2.1666666666666665,423.99676574731484,0.9374626998429314,21.2,25.40841003059555,"['Ekko', 'Sylas', 'Khazix', 'Sylas', 'Sylas']"
SUPPORT,60.0,2.0,334.8076343744199,1.5181568471095122,40.4,21.315547428895385,"['Malphite', 'Syndra', 'Malphite', 'Neeko', 'Elise']"
SUPPORT,60.0,3.7083333333333335,280.024704781621,1.0707285875343318,35.2,12.837973250333661,"['Thresh', 'Thresh', 'Thresh', 'Leona', 'Leona']"
JUNGLE,80.0,2.5833333333333335,373.1141610755372,1.3008062342341957,24.0,15.771926391249794,"['Volibear', 'Volibear', 'Volibear', 'Camille', 'Volibear']"
SUPPORT,40.0,1.5416666666666667,313.67661834422086,1.4064129301253527,40.6,10.422668583609562,"['Braum', 'Draven', 'Karma', 'Leona', 'Blitzcrank']"
ADC,20.0,2.033333333333333,347.31388775415064,5.101445064421631,19.8,24.128606400882376,"['Ezreal', 'Ezreal', 'Ezreal', 'Vayne', 'Tristana']"
MID,40.0,2.0727272727272728,368.2002212507177,3.533836544313478,31.8,28.250140464329547,"['Taliyah', 'Taliyah', 'Taliyah', 'Taliyah', 'Taliyah']"
SUPPORT,60.0,4.277777777777778,341.0122549386162,1.3375703933933691,42.4,13.063201596812215,"['Pyke', 'Sona', 'Blitzcrank', 'Alistar', 'Pyke']"
MID,60.0,2.8,839.6860695011106,5.173838910451708,17.8,24.89989280267897,"['Jhin', 'Sylas', 'Tristana', 'Veigar', 'Nunu']"
MID,60.0,2.8,407.36871102892127,5.144119763902838,13.8,27.281496587159076,"['Diana', 'Diana', 'Diana', 'Diana', 'Diana']"
TOP,100.0,1.6619718309859155,819.5323772912218,4.586472850484432,17.6,18.99554621372063,"['Aphelios', 'Qiyana', 'Caitlyn', 'Kaisa', 'Senna']"
TOP,40.0,2.0,331.73664502367427,4.621193591874763,21.2,16.74351818080452,"['Karma', 'Karma', 'Teemo', 'Garen', 'Karma']"
ADC,80.0,2.7586206896551726,419.83109000087245,6.070720167308831,14.2,25.442861315274566,"['Ezreal', 'Caitlyn', 'Vayne', 'MissFortune', 'Caitlyn']"
ADC,40.0,1.8275862068965518,403.20506146318405,6.954765889833692,18.4,23.736490742816244,"['Jhin', 'KogMaw', 'Vayne', 'Tristana', 'Jhin']"
TOP,60.0,1.1111111111111112,368.0510563492486,5.983967191093364,12.4,19.213159572517053,"['Kayle', 'Kayle', 'Kayle', 'Kayle', 'Kayle']"
TOP,20.0,1.121212121212121,299.9484953050513,4.8295805630429065,9.0,20.428669660166108,"['Gangplank', 'Camille', 'Aatrox', 'Jayce', 'Gangplank']"
SUPPORT,80.0,2.2903225806451615,276.7933422012151,1.0532413837068433,35.6,11.106299775340519,"['Thresh', 'Lulu', 'Orianna', 'Xerath', 'Lulu']"
JUNGLE,20.0,1.2954545454545454,312.97454179189083,1.1992172105369403,26.0,15.410145566681477,"['RekSai', 'LeeSin', 'Elise', 'Sejuani', 'Olaf']"
JUNGLE,60.0,2.32,313.11559118588775,1.026591230660201,22.2,8.583511453472223,"['Rammus', 'Rammus', 'Rammus', 'Zac', 'Elise']"
TOP,60.0,2.018181818181818,724.2928555981066,3.57075730366386,12.2,15.531138715491148,"['Darius', 'Sivir', 'Veigar', 'Morgana', 'Leona']"
