role,winrate,KDA,goldpm,cspm,vision,damage%,champs
TOP,40.0,1.3454545454545455,346.2558727978684,4.060903527868331,19.4,24.536748198950058,"['Bard', 'Urgot', 'Volibear', 'Volibear', 'Sett']"
SUPPORT,80.0,5.238095238095238,328.98570064345694,1.216359702164223,21.0,16.27563544319876,"['Karma', 'Karma', 'Kayle', 'Kayle', 'Karma']"
JUNGLE,20.0,1.653061224489796,338.6486280603384,1.0895656264068305,16.6,19.042619352649552,"['Sejuani', 'Sejuani', 'Qiyana', 'Qiyana', 'Fiddlesticks']"
JUNGLE,20.0,1.6774193548387097,361.49593782803186,1.2075869731463018,10.4,16.236936444372752,"['LeeSin', 'Hecarim', 'LeeSin', 'LeeSin', 'Trundle']"
TOP,60.0,2.1176470588235294,428.56714076380695,5.6676487119101555,27.2,32.558082795846005,"['Illaoi', 'Garen', 'Garen', 'Garen', 'Camille']"
ADC,60.0,2.761904761904762,349.99867001785697,4.6005473732188005,12.8,17.459877442737632,"['Caitlyn', 'Ezreal', 'Caitlyn', 'Caitlyn', 'Varus']"
TOP,40.0,2.1,722.1294642399665,4.706058636931971,0.2,20.687121679795087,"['Malzahar', 'Zyra', 'Zyra', 'Zyra', 'Zyra']"
TOP,40.0,1.3157894736842106,322.1302649128749,4.23101943294523,7.2,14.892405452375543,"['Darius', 'Darius', 'Darius', 'Darius', 'Renekton']"
TOP,40.0,1.1395348837209303,372.8313245309582,5.90873964120212,12.6,28.96756383358234,"['Illaoi', 'Illaoi', 'Illaoi', 'Illaoi', 'Illaoi']"
ADC,60.0,6.636363636363637,339.27023986310854,5.089419777668495,8.2,19.39469578950597,"['MissFortune', 'MissFortune', 'MissFortune', 'MissFortune', 'MissFortune']"
JUNGLE,20.0,1.575,298.91483735208203,0.6592367132292986,11.0,9.765154525014811,"['JarvanIV', 'Warwick', 'Warwick', 'Warwick', 'Sejuani']"
MID,60.0,2.275,357.2694866794051,3.532382510275648,14.4,25.085702368271278,"['Ahri', 'Talon', 'Diana', 'Veigar', 'Veigar']"
ADC,100.0,7.818181818181818,472.3372905688696,6.009917791891906,13.2,25.65779885399355,"['Ashe', 'Caitlyn', 'Ashe', 'Sivir', 'Caitlyn']"
SUPPORT,20.0,1.6808510638297873,273.40554362755165,1.2947574448865597,20.0,11.558729631130158,"['Nautilus', 'Nautilus', 'Nautilus', 'Nautilus', 'Nautilus']"
SUPPORT,60.0,5.722222222222222,284.3461501948333,0.8367282251798839,31.0,13.272423970805667,"['Sona', 'Sona', 'Sona', 'Sona', 'Sona']"
SUPPORT,60.0,4.696969696969697,605.4859398943292,2.2569816885253906,33.4,16.876696538787343,"['Lux', 'Yuumi', 'Morgana', 'Malphite', 'Sona']"
SUPPORT,40.0,2.323529411764706,267.38500151464893,0.9635649625557529,33.6,9.519593781706996,"['Thresh', 'Blitzcrank', 'Thresh', 'Blitzcrank', 'Leona']"
JUNGLE,80.0,1.972972972972973,369.41336478374893,3.7464791199912404,17.8,17.09330992370403,"['Ryze', 'Warwick', 'Teemo', 'Teemo', 'Warwick']"
MID,40.0,2.0256410256410255,333.165721678354,3.034536796128885,15.0,16.444504822256167,"['Veigar', 'Veigar', 'Veigar', 'Darius', 'Veigar']"
MID,40.0,2.3666666666666667,386.90490534301074,4.531082050963795,9.4,28.523921014810256,"['Veigar', 'Veigar', 'Zoe', 'Veigar', 'Veigar']"
ADC,20.0,3.0,422.3382458139125,4.374594701620973,10.8,29.641216672472716,"['Yasuo', 'Tristana', 'Tristana', 'Tristana', 'Senna']"
MID,60.0,1.6923076923076923,282.8200562595728,3.2150692632197733,16.0,11.272363270037422,"['Ekko', 'Alistar', 'Ekko', 'Ekko', 'Ekko']"
JUNGLE,40.0,1.1492537313432836,577.4531525957984,3.5853824517487096,21.4,21.3159972428817,"['Rengar', 'Fiora', 'Viktor', 'Rengar', 'Rengar']"
MID,20.0,1.2307692307692308,285.36566333296184,3.7197962911041373,7.0,16.518371830442906,"['Annie', 'Galio', 'Galio', 'Mordekaiser', 'Mordekaiser']"
ADC,60.0,0.8125,281.16142247168966,3.403436150092859,7.4,10.600802609153332,"['Xayah', 'Xayah', 'Xayah', 'Varus', 'Varus']"
