role,winrate,KDA,goldpm,cspm,vision,damage%,champs
ADC,80.0,2.65625,442.3497281653681,6.176476019635714,15.2,25.115036428338506,"['Draven', 'Caitlyn', 'Corki', 'Jhin', 'Corki']"
MID,80.0,3.142857142857143,410.48587865255115,5.508072255704393,19.8,19.886393148970875,"['TwistedFate', 'TwistedFate', 'TwistedFate', 'TwistedFate', 'TwistedFate']"
MID,60.0,2.933333333333333,406.7593362948366,5.792998238096704,24.4,23.359308417231585,"['Leblanc', 'Morgana', 'Leblanc', 'Karma', 'Lissandra']"
MID,20.0,1.6923076923076923,455.6151737148586,8.790749542091655,22.6,28.11422137464352,"['Azir', 'Syndra', 'Ryze', 'Azir', 'Azir']"
MID,40.0,3.4791666666666665,621.5618384845317,2.103050334524396,0.0,19.64083746599358,"['Diana', 'Jinx', 'Kaisa', 'Leblanc', 'Nami']"
MID,60.0,3.4166666666666665,507.02831071568,6.162797632697545,12.8,25.61330208530671,"['Yasuo', 'Zed', 'Galio', 'Sylas', 'Zed']"
SUPPORT,60.0,2.3684210526315788,252.3131056414781,0.47275377265174623,63.6,9.696435269154403,"['Zyra', 'Soraka', 'Nautilus', 'Soraka', 'Soraka']"
ADC,20.0,1.875,355.8249983722287,5.963490893017548,15.4,20.7848949572629,"['Jinx', 'Sivir', 'KogMaw', 'Caitlyn', 'Caitlyn']"
ADC,20.0,1.8095238095238095,385.2859224985474,7.066176710834483,20.2,20.00086532683793,"['Caitlyn', 'Jhin', 'Caitlyn', 'Jhin', 'Jinx']"
TOP,20.0,1.606060606060606,362.2754170222928,5.7039235937488675,11.8,20.424599362082844,"['Caitlyn', 'Ornn', 'Ornn', 'Ornn', 'Fiora']"
JUNGLE,40.0,2.3823529411764706,394.39462618966735,1.428137797880329,21.4,22.40843025747017,"['Kayn', 'LeeSin', 'LeeSin', 'Shyvana', 'Shyvana']"
SUPPORT,40.0,1.6285714285714286,247.18936903837934,0.9202105518152349,47.0,11.52444404280061,"['Pyke', 'Brand', 'Alistar', 'Nautilus', 'Braum']"
JUNGLE,80.0,4.05,439.18930288346826,2.0184014420121708,26.4,24.720975510083978,"['Rengar', 'Shyvana', 'Ezreal', 'Rengar', 'Rengar']"
ADC,0.0,0.9024390243902439,343.89775519526495,5.767163190273848,20.4,22.9287091886449,"['Twitch', 'Yasuo', 'Kalista', 'Aphelios', 'Ezreal']"
SUPPORT,540.0,5.08843537414966,2450.6220821201,9.762081056145204,384.0,107.54401198274724,"['Zyra', 'Soraka', 'Thresh', 'Karma', 'LeeSin', 'LeeSin', 'Janna', 'Janna', 'Soraka', 'Janna', 'Janna', 'Janna', 'Janna', 'Janna', 'Janna', 'Janna', 'Janna', 'Janna', 'Janna', 'Janna', 'Janna', 'Janna', 'Janna', 'Janna', 'Vayne', 'Ezreal', 'Janna', 'Janna', 'Janna', 'Alistar', 'Janna', 'Thresh', 'Janna', 'Thresh']"
TOP,60.0,1.8333333333333333,429.49985182417885,6.486163160644968,23.0,22.316882863596398,"['Gangplank', 'Gangplank', 'Gangplank', 'Gangplank', 'Fiora']"
SUPPORT,40.0,2.026315789473684,325.9382153901392,1.1214094426252412,45.0,11.816325782662371,"['Alistar', 'Bard', 'LeeSin', 'Zilean', 'Pyke']"
JUNGLE,0.0,1.7575757575757576,405.0614523449499,1.5314625832374014,17.4,22.190767124835844,"['Olaf', 'Khazix', 'Rengar', 'Kayn', 'Rengar']"
TOP,60.0,1.3333333333333333,371.5715710188957,6.410733360291775,18.6,26.74319648498854,"['Kayle', 'Mordekaiser', 'Diana', 'Aatrox', 'Aatrox']"
SUPPORT,60.0,4.791666666666667,350.9537217832694,1.0151079171567645,37.6,21.5948289274305,"['Karma', 'Karma', 'Nami', 'Bard', 'Karma']"
TOP,60.0,2.152173913043478,553.174802768465,5.397644330583001,9.0,20.82927737087247,"['TwistedFate', 'Sion', 'Vladimir', 'Katarina', 'Katarina']"
ADC,80.0,1.85,450.9035912746981,6.3493192054541385,19.4,27.77831772246514,"['Aphelios', 'Aphelios', 'Aphelios', 'Aphelios', 'Kalista']"
TOP,60.0,2.676470588235294,469.49826094142406,5.649385226252217,17.2,25.657908536954427,"['Shyvana', 'Irelia', 'Galio', 'Camille', 'Darius']"
JUNGLE,60.0,4.708333333333333,444.9676728330707,0.8759061429326239,26.4,18.3414167909242,"['Khazix', 'Pantheon', 'Ivern', 'Ivern', 'Ivern']"
JUNGLE,40.0,3.1315789473684212,431.1962251850208,1.1663673062514286,18.6,25.110440168637783,"['Amumu', 'LeeSin', 'Shaco', 'MonkeyKing', 'LeeSin']"
