role,winrate,KDA,goldpm,cspm,vision,damage%,champs
ADC,40.0,1.9142857142857144,393.9017004623638,5.908335959763251,12.4,28.29481149598158,"['Ezreal', 'Varus', 'Ezreal', 'Lucian', 'Jhin']"
TOP,40.0,4.6,395.66349450389674,4.809397918507,21.6,25.456487686629835,"['Garen', 'Soraka', 'Ryze', 'Gnar', 'Shen']"
JUNGLE,20.0,2.3793103448275863,428.52701484807505,1.7387776708696698,14.0,21.098920644512535,"['MasterYi', 'MasterYi', 'MasterYi', 'MasterYi', 'Trundle']"
SUPPORT,40.0,1.894736842105263,250.0872551613159,1.2874831325182066,44.6,9.800381552912185,"['Nautilus', 'Leona', 'Alistar', 'Thresh', 'Thresh']"
JUNGLE,80.0,5.3125,390.80789244911665,1.0832300991829382,29.6,14.10602208910583,"['Trundle', 'Trundle', 'Trundle', 'Trundle', 'Graves']"
TOP,80.0,2.3793103448275863,766.6687271511657,3.189146670222055,16.4,13.158129348734155,"['Lux', 'Lux', 'Blitzcrank', 'Blitzcrank', 'Blitzcrank']"
ADC,60.0,3.375,484.47527619670564,5.21485558950899,5.8,36.246542279318355,"['Akali', 'Aphelios', 'Aphelios', 'Caitlyn', 'MissFortune']"
TOP,80.0,2.727272727272727,553.8023350028529,4.793234175458289,12.6,23.306251103007508,"['Darius', 'Sett', 'Zed', 'Katarina', 'Sett']"
MID,40.0,1.690909090909091,428.2992205045897,3.191123443473147,5.4,17.413399627058695,"['Galio', 'Galio', 'MonkeyKing', 'Zed', 'Yasuo']"
SUPPORT,40.0,3.2777777777777777,268.97982416291813,1.3955704785372447,53.8,11.901763846182293,"['Blitzcrank', 'Lulu', 'Bard', 'Zilean', 'Zilean']"
MID,20.0,3.0,411.76860443665174,5.688378133695654,15.2,25.561476307358095,"['Talon', 'Malzahar', 'Malzahar', 'Malzahar', 'Ahri']"
JUNGLE,60.0,1.5,374.1539707091205,1.6707686125426455,26.6,13.219934613086885,"['JarvanIV', 'LeeSin', 'Yasuo', 'LeeSin', 'Gnar']"
ADC,40.0,3.6,421.1771048008494,6.162502381477805,19.2,30.051341026700307,"['Kaisa', 'Ezreal', 'Ezreal', 'Ezreal', 'Tristana']"
ADC,60.0,2.769230769230769,392.5591192735145,5.460469899208183,17.4,21.52822608996876,"['Kaisa', 'Kaisa', 'Kaisa', 'Senna', 'Kaisa']"
MID,20.0,1.24,353.75067832007824,4.436488509504228,9.4,20.685147587164636,"['Fizz', 'Sylas', 'Sylas', 'Sylas', 'Kassadin']"
SUPPORT,60.0,2.1794871794871793,267.6149626287862,0.8981185935755454,64.0,8.50957792600224,"['Nautilus', 'Nautilus', 'Nautilus', 'Thresh', 'Leona']"
JUNGLE,60.0,2.1515151515151514,379.07456364329175,3.387118699527119,15.4,15.409379408093942,"['Renekton', 'Renekton', 'Aatrox', 'MonkeyKing', 'Warwick']"
SUPPORT,40.0,2.725,324.1289094784639,1.2555053979204172,46.2,23.801016796149018,"['Lux', 'Nami', 'Zyra', 'Lux', 'Lux']"
TOP,40.0,3.0526315789473686,752.5888416566577,4.000017936777175,23.2,18.254026255149025,"['Draven', 'Singed', 'Ekko', 'Soraka', 'Jhin']"
TOP,20.0,1.9615384615384615,396.15106846261347,5.892362469961414,14.8,25.43195831897394,"['Quinn', 'Darius', 'Quinn', 'Quinn', 'Quinn']"
SUPPORT,60.0,3.1153846153846154,261.7729912574986,0.46906706738729875,25.2,8.966318175626894,"['Yuumi', 'Yuumi', 'Janna', 'Rakan', 'Braum']"
ADC,20.0,2.75,410.48648010072975,6.2197102769735775,11.4,25.621723934993707,"['Tristana', 'Ezreal', 'Ezreal', 'Ezreal', 'Ezreal']"
JUNGLE,60.0,3.064516129032258,441.2574302576265,2.1195098368951557,23.8,22.776551224237217,"['Graves', 'Graves', 'Graves', 'Graves', 'Hecarim']"
MID,40.0,1.8918918918918919,375.62728254701295,5.038786466463721,13.2,24.078969067355256,"['Diana', 'Veigar', 'Syndra', 'Mordekaiser', 'Diana']"
MID,60.0,3.142857142857143,344.30393875206585,5.75510135302211,18.2,20.176124602745286,"['Caitlyn', 'Ekko', 'Galio', 'Fizz', 'Syndra']"
