role,winrate,KDA,goldpm,cspm,vision,damage%,champs
MID,20.0,2.9523809523809526,408.64794297870674,6.592659142127377,24.8,20.10311450400452,"['Lucian', 'Azir', 'Leblanc', 'Qiyana', 'Qiyana']"
SUPPORT,40.0,2.9411764705882355,292.9087731413167,1.3528008706847456,38.6,12.522621193014624,"['Xerath', 'Bard', 'Xerath', 'Pyke', 'Lulu']"
TOP,20.0,2.6538461538461537,353.5806254478832,5.146967277712887,25.8,16.732891294423208,"['Olaf', 'Darius', 'Olaf', 'Poppy', 'Olaf']"
JUNGLE,40.0,1.9705882352941178,316.441168910363,0.4855238029347907,26.2,17.09187708030827,"['Ivern', 'Gragas', 'Gragas', 'Gragas', 'Gragas']"
TOP,60.0,0.9791666666666666,403.7744200015706,6.308428122647802,18.4,21.236192956292836,"['Riven', 'Mordekaiser', 'Sett', 'Mordekaiser', 'Jax']"
MID,20.0,2.15,395.4356581502647,4.373968624756964,17.0,24.262862889913865,"['Galio', 'Cassiopeia', 'Yasuo', 'Talon', 'Katarina']"
TOP,100.0,2.5416666666666665,640.0833029786763,2.818949188646596,0.0,28.792960214195745,"['AurelionSol', 'LeeSin', 'Xayah', 'AurelionSol', 'Rumble']"
JUNGLE,60.0,2.95,407.0007606639789,1.047634026375213,29.0,19.320195836180723,"['LeeSin', 'LeeSin', 'Graves', 'Khazix', 'LeeSin']"
SUPPORT,20.0,1.4444444444444444,229.07360081349844,0.8493215276035437,36.4,7.5133198522134155,"['Sett', 'Lulu', 'Yuumi', 'Thresh', 'Braum']"
TOP,60.0,3.8181818181818183,442.402007325305,7.722842956157083,18.2,24.427931360457556,"['Garen', 'Mordekaiser', 'Garen', 'Shen', 'Mordekaiser']"
MID,20.0,1.7222222222222223,420.4729797672665,6.858795844845693,12.8,25.835438807176182,"['Yasuo', 'Kassadin', 'Corki', 'Diana', 'Syndra']"
MID,20.0,2.4583333333333335,388.9337899851768,6.57424526305942,17.6,26.465446758042116,"['Annie', 'Annie', 'Annie', 'Annie', 'Annie']"
ADC,300.0,3.1650485436893203,2081.496375081021,24.775172835649144,83.0,82.8420749481441,"['Draven', 'Varus', 'Draven', 'Kennen', 'Kennen', 'Kennen', 'Kennen', 'Kennen', 'Aphelios', 'Ziggs', 'Caitlyn', 'Xayah', 'Aphelios', 'MissFortune', 'Caitlyn', 'Aphelios', 'Heimerdinger', 'Caitlyn', 'Caitlyn', 'Ashe', 'MissFortune']"
TOP,40.0,2.5588235294117645,834.1154958966497,6.108195164790775,23.6,17.726047240083208,"['Twitch', 'Vladimir', 'Lucian', 'Neeko', 'Kassadin']"
SUPPORT,40.0,2.869565217391304,293.6534842951797,1.0082605736160424,52.8,11.986683774325858,"['Nautilus', 'Karma', 'Thresh', 'Senna', 'Thresh']"
JUNGLE,80.0,3.1363636363636362,404.84380468501354,1.3887401016979286,25.0,20.511753564677832,"['Rengar', 'Olaf', 'Warwick', 'Warwick', 'MasterYi']"
ADC,80.0,2.3076923076923075,411.51740975874566,6.5804540277603225,21.8,23.401919719041775,"['Lucian', 'Aphelios', 'Aphelios', 'Aphelios', 'Aphelios']"
MID,40.0,1.6756756756756757,310.54119795265666,3.929394375994111,44.0,12.62295195443829,"['TwistedFate', 'Thresh', 'Syndra', 'Leona', 'Syndra']"
ADC,40.0,2.0416666666666665,493.3627768132484,6.553754802557579,19.2,31.112576823452976,"['Kaisa', 'Caitlyn', 'Kaisa', 'Sivir', 'Tristana']"
JUNGLE,60.0,2.0588235294117645,552.1328708857488,2.0285625188307748,17.4,25.85837885318613,"['Ezreal', 'Khazix', 'Khazix', 'Khazix', 'MasterYi']"
SUPPORT,60.0,2.588235294117647,259.2379465311613,0.6377780484574362,60.2,8.25221067669803,"['Alistar', 'Alistar', 'Soraka', 'Soraka', 'Soraka']"
JUNGLE,60.0,5.3076923076923075,430.16060682715806,1.0839934338411001,19.0,18.938128063079418,"['Kayn', 'Kayn', 'Nidalee', 'Ivern', 'Kayn']"
SUPPORT,80.0,3.9130434782608696,297.404958902614,0.6749691685133399,58.0,7.077774724087614,"['Lulu', 'Taric', 'Lulu', 'Lulu', 'Lulu']"
ADC,80.0,2.3055555555555554,441.4348807213848,6.02393261270475,23.8,27.285536992942106,"['Aphelios', 'Ezreal', 'Kaisa', 'Kalista', 'Aphelios']"
ADC,40.0,1.8235294117647058,464.17121107525145,6.355199460986238,15.2,32.2351602710226,"['Ezreal', 'Vayne', 'Caitlyn', 'Vayne', 'Vayne']"
