role,winrate,KDA,goldpm,cspm,vision,damage%,champs
SUPPORT,60.0,2.972972972972973,295.6856094007107,0.7088887874134884,54.6,10.269699020586618,"['Taric', 'Janna', 'Thresh', 'Nami', 'Lulu']"
SUPPORT,40.0,3.3333333333333335,312.9842781696661,1.2236899406946302,46.0,24.460660846306997,"['Lux', 'Brand', 'Brand', 'Swain', 'Brand']"
MID,80.0,2.3846153846153846,351.20700999349594,5.112163742937555,18.4,20.536861672312025,"['Ahri', 'Orianna', 'Akali', 'Ahri', 'Akali']"
ADC,60.0,1.1555555555555554,372.23949022421226,6.030443812440483,23.4,18.532585149748087,"['Lucian', 'Caitlyn', 'Xayah', 'Aphelios', 'Aphelios']"
TOP,100.0,2.0689655172413794,412.318483535597,6.251153658544814,22.0,19.15319032093335,"['Volibear', 'Tryndamere', 'Volibear', 'Malphite', 'Volibear']"
TOP,40.0,3.1458333333333335,660.9439090865397,2.6025930076825743,9.6,16.9711405715859,"['Jinx', 'LeeSin', 'Nami', 'Janna', 'Neeko']"
ADC,20.0,2.25,363.2511597761664,5.892140684573737,11.4,22.85495994623839,"['Jhin', 'Ezreal', 'Jinx', 'Caitlyn', 'Ekko']"
TOP,40.0,2.1904761904761907,566.7493904707574,6.11276454020008,15.6,28.15741456009159,"['Gragas', 'Jayce', 'Pyke', 'Urgot', 'Sion']"
ADC,40.0,1.8181818181818181,461.59902781041944,5.0132770524084505,18.4,19.977771262924414,"['Taliyah', 'Kaisa', 'Lucian', 'Kaisa', 'Kaisa']"
MID,20.0,2.2564102564102564,420.37322441796795,5.622306780766395,26.4,29.52460429803266,"['Leblanc', 'Rumble', 'Leblanc', 'Zoe', 'Leblanc']"
TOP,20.0,2.13953488372093,414.7640370333214,4.829615127509461,16.8,25.939189697491404,"['Annie', 'Soraka', 'Evelynn', 'Yasuo', 'Kayle']"
JUNGLE,60.0,2.310344827586207,374.1604338777746,1.2516419417781486,15.8,19.81079140989925,"['Kayn', 'Pantheon', 'Khazix', 'Evelynn', 'LeeSin']"
MID,60.0,1.0303030303030303,326.3745786306171,4.8672877155556975,13.0,13.495875225014654,"['TwistedFate', 'Ekko', 'Ekko', 'Ekko', 'Vladimir']"
ADC,20.0,2.15,408.4230554138195,5.75258769220831,21.6,31.89894932264866,"['MissFortune', 'Lucian', 'Vayne', 'MissFortune', 'MissFortune']"
ADC,60.0,5.277777777777778,416.058922649,6.30241969106129,22.6,25.201359338702765,"['Jhin', 'Jhin', 'Varus', 'MissFortune', 'Aphelios']"
MID,40.0,2.272727272727273,380.12847388776476,6.267270271665336,16.6,22.00407581664731,"['Tryndamere', 'Fizz', 'Diana', 'Diana', 'Renekton']"
TOP,20.0,2.260869565217391,376.32967940612707,6.340760694631735,29.8,20.60201663495346,"['Karma', 'Vayne', 'LeeSin', 'LeeSin', 'Gangplank']"
SUPPORT,60.0,3.260869565217391,278.201765146423,0.7187085527101834,65.0,7.5334618292910855,"['Lulu', 'Alistar', 'Lulu', 'Janna', 'Janna']"
JUNGLE,40.0,3.9393939393939394,446.2901053178451,1.6643206828803219,20.4,22.76151361015014,"['Nunu', 'Rengar', 'Blitzcrank', 'Vi', 'Sett']"
MID,80.0,5.294117647058823,419.51061638042756,5.886890926746278,33.2,21.2156082913948,"['Azir', 'Leblanc', 'Leblanc', 'Leblanc', 'Leblanc']"
JUNGLE,60.0,3.869565217391304,425.00144169573423,0.8853255433619347,32.2,19.1627928407746,"['Hecarim', 'Vi', 'Hecarim', 'Fiddlesticks', 'Hecarim']"
JUNGLE,60.0,3.0,390.02182378815235,1.0721998765391967,16.6,22.078609051128186,"['Elise', 'LeeSin', 'Gragas', 'Gragas', 'Gragas']"
JUNGLE,60.0,1.0512820512820513,470.4095504574243,4.289776303015562,20.0,20.353979098883915,"['Poppy', 'Ekko', 'Heimerdinger', 'Heimerdinger', 'Veigar']"
SUPPORT,60.0,2.857142857142857,297.7401371679177,1.3313216399098393,48.6,17.436385613743138,"['Senna', 'Velkoz', 'Brand', 'Thresh', 'Velkoz']"
SUPPORT,100.0,4.904761904761905,504.7428571428571,3.931428571428571,20.0,4.314843144240239,"['Braum', 'Braum', 'Braum', 'Braum', 'Braum']"
